IP,target
1.22.196.12,1
1.220.185.149,1
1.224.108.234,1
1.224.249.138,1
1.226.12.132,1
1.226.250.47,1
1.227.57.66,1
1.23.183.197,1
1.234.172.251,1
1.234.23.177,1
1.234.58.220,1
1.235.192.218,1
1.237.212.184,1
1.238.48.5,1
1.245.61.144,1
1.25.209.23,1
1.251.239.18,1
1.255.226.37,1
1.32.46.210,1
1.38.52.69,1
1.4.137.137,1
1.4.198.66,1
1.52.109.180,1
1.52.160.220,1
1.52.185.132,1
1.52.249.168,1
1.52.34.201,1
1.52.78.0,1
1.52.78.230,1
1.53.151.228,1
1.53.17.13,1
1.53.183.106,1
1.53.208.237,1
1.53.215.69,1
1.54.153.200,1
1.54.82.33,1
1.54.95.242,1
1.55.139.85,1
1.55.165.141,1
1.55.210.41,1
1.55.226.178,1
1.55.31.210,1
1.56.207.130,1
1.6.182.218,1
1.62.13.200,1
1.7.174.39,1
1.9.128.13,1
1.9.128.2,1
100.2.2.209,1
100.25.140.171,1
100.26.174.39,1
100.37.15.20,1
101.0.53.147,1
101.108.233.51,1
101.110.57.242,1
101.127.232.199,1
101.132.129.148,1
101.132.130.54,1
101.132.140.146,1
101.132.193.181,1
101.132.193.80,1
101.16.246.208,1
101.161.221.120,1
101.166.192.3,1
101.187.123.101,1
101.200.124.44,1
101.200.171.110,1
101.200.55.195,1
101.201.44.90,1
101.206.162.251,1
101.207.232.128,1
101.226.21.105,1
101.226.253.162,1
101.227.251.235,1
101.227.34.23,1
101.227.5.66,1
101.227.82.60,1
101.227.82.73,1
101.231.146.34,1
101.231.146.36,1
101.231.250.62,1
101.236.60.31,1
101.249.60.197,1
101.250.10.55,1
101.251.197.238,1
101.251.207.228,1
101.251.219.100,1
101.251.219.115,1
101.251.219.243,1
101.254.233.194,1
101.255.200.208,1
101.255.200.209,1
101.255.200.211,1
101.255.200.213,1
101.29.163.188,1
101.32.10.239,1
101.32.101.171,1
101.32.11.194,1
101.32.116.215,1
101.32.116.55,1
101.32.116.76,1
101.32.12.110,1
101.32.12.168,1
101.32.127.118,1
101.32.14.126,1
101.32.14.194,1
101.32.15.39,1
101.32.168.217,1
101.32.178.2,1
101.32.178.221,1
101.32.178.46,1
101.32.183.189,1
101.32.187.45,1
101.32.188.232,1
101.32.188.89,1
101.32.19.11,1
101.32.192.63,1
101.32.202.154,1
101.32.202.186,1
101.32.205.87,1
101.32.206.243,1
101.32.208.125,1
101.32.208.137,1
101.32.216.78,1
101.32.218.22,1
101.32.22.60,1
101.32.222.206,1
101.32.23.32,1
101.32.239.185,1
101.32.241.64,1
101.32.34.76,1
101.32.35.123,1
101.32.36.242,1
101.32.42.89,1
101.32.45.10,1
101.32.46.20,1
101.32.62.196,1
101.32.7.111,1
101.32.72.24,1
101.32.74.75,1
101.32.75.101,1
101.32.99.199,1
101.33.117.207,1
101.33.120.154,1
101.33.123.223,1
101.33.124.123,1
101.36.109.104,1
101.36.109.214,1
101.36.118.82,1
101.36.124.151,1
101.36.124.30,1
101.36.127.61,1
101.36.151.78,1
101.36.178.20,1
101.36.178.48,1
101.36.221.103,1
101.50.1.53,1
101.51.232.104,1
101.51.236.54,1
101.51.6.78,1
101.51.62.139,1
101.64.137.133,1
101.66.153.9,1
101.66.172.72,1
101.69.200.162,1
101.71.3.53,1
101.71.51.192,1
101.78.9.235,1
101.78.9.237,1
101.89.122.97,1
101.89.123.249,1
101.89.138.113,1
101.89.143.15,1
101.89.145.133,1
101.89.154.91,1
101.89.188.88,1
101.91.113.25,1
101.91.115.253,1
101.91.165.99,1
101.96.113.50,1
101.98.154.227,1
101.99.14.27,1
101.99.14.49,1
101.99.20.59,1
102.113.226.189,1
102.115.230.121,1
102.115.234.115,1
102.118.44.174,1
102.132.163.141,1
102.140.138.130,1
102.152.150.130,1
102.152.57.73,1
102.157.165.117,1
102.16.17.200,1
102.160.145.139,1
102.164.61.237,1
102.166.23.124,1
102.170.123.29,1
102.176.10.11,1
102.176.3.136,1
102.176.49.232,1
102.184.98.36,1
102.189.136.195,1
102.189.178.124,1
102.38.50.50,1
102.40.139.243,1
102.42.229.187,1
102.42.66.68,1
102.44.61.80,1
102.53.4.42,1
102.68.130.74,1
103.1.210.46,1
103.10.169.212,1
103.10.66.22,1
103.100.208.30,1
103.100.208.50,1
103.100.210.198,1
103.101.229.95,1
103.101.233.37,1
103.101.3.91,1
103.101.52.135,1
103.102.144.73,1
103.102.238.84,1
103.102.238.89,1
103.104.49.15,1
103.105.106.234,1
103.105.172.6,1
103.106.20.212,1
103.108.87.133,1
103.109.28.1,1
103.110.11.59,1
103.110.89.66,1
103.111.226.249,1
103.112.244.250,1
103.112.29.106,1
103.113.101.51,1
103.114.10.192,1
103.114.10.196,1
103.114.10.197,1
103.114.10.199,1
103.114.10.200,1
103.114.10.201,1
103.114.10.204,1
103.114.105.37,1
103.114.105.83,1
103.114.107.128,1
103.114.107.149,1
103.114.107.249,1
103.114.107.8,1
103.114.72.217,1
103.115.44.192,1
103.116.87.26,1
103.118.207.196,1
103.119.147.234,1
103.119.92.107,1
103.120.153.232,1
103.120.211.29,1
103.120.223.27,1
103.121.213.138,1
103.122.111.202,1
103.122.164.169,1
103.122.245.7,1
103.122.28.92,1
103.122.5.61,1
103.123.235.40,1
103.123.25.80,1
103.123.97.240,1
103.124.92.94,1
103.124.94.169,1
103.124.95.136,1
103.125.191.106,1
103.125.191.136,1
103.125.191.233,1
103.126.102.25,1
103.127.108.54,1
103.127.186.74,1
103.127.38.222,1
103.129.223.98,1
103.129.47.13,1
103.129.47.17,1
103.129.64.16,1
103.129.64.183,1
103.129.64.22,1
103.130.112.133,1
103.130.207.45,1
103.130.213.36,1
103.130.219.173,1
103.130.242.200,1
103.131.168.138,1
103.131.189.71,1
103.131.245.118,1
103.132.124.120,1
103.133.104.141,1
103.133.104.160,1
103.133.104.182,1
103.133.121.12,1
103.133.215.106,1
103.133.57.250,1
103.136.40.128,1
103.136.40.17,1
103.136.40.18,1
103.136.40.88,1
103.136.40.93,1
103.136.42.145,1
103.136.42.230,1
103.136.42.83,1
103.138.105.86,1
103.138.190.190,1
103.139.190.20,1
103.139.45.200,1
103.139.45.237,1
103.139.5.4,1
103.140.2.147,1
103.141.235.170,1
103.142.140.174,1
103.142.170.122,1
103.143.138.225,1
103.143.138.226,1
103.143.138.227,1
103.143.138.228,1
103.143.138.229,1
103.143.138.230,1
103.143.138.231,1
103.144.107.252,1
103.144.107.254,1
103.144.15.121,1
103.144.179.111,1
103.144.179.192,1
103.144.179.211,1
103.144.179.244,1
103.144.179.25,1
103.144.179.83,1
103.145.252.28,1
103.145.253.138,1
103.145.35.2,1
103.146.155.210,1
103.146.203.115,1
103.146.221.125,1
103.146.232.3,1
103.146.54.26,1
103.147.184.193,1
103.147.251.2,1
103.147.3.118,1
103.147.3.167,1
103.147.3.173,1
103.147.3.20,1
103.147.3.57,1
103.147.3.74,1
103.147.3.88,1
103.147.3.99,1
103.147.4.142,1
103.147.4.177,1
103.147.4.180,1
103.147.4.202,1
103.147.4.25,1
103.147.47.202,1
103.147.5.1,1
103.147.5.20,1
103.147.5.3,1
103.147.5.77,1
103.147.5.89,1
103.147.60.41,1
103.147.86.155,1
103.148.164.161,1
103.148.225.6,1
103.148.57.35,1
103.148.79.199,1
103.148.94.36,1
103.149.158.44,1
103.149.26.193,1
103.150.84.251,1
103.151.122.213,1
103.151.122.244,1
103.151.157.24,1
103.152.181.45,1
103.152.79.161,1
103.153.78.22,1
103.154.185.213,1
103.154.2.203,1
103.155.198.93,1
103.155.210.5,1
103.155.81.105,1
103.155.82.188,1
103.156.180.146,1
103.156.93.0,1
103.156.93.85,1
103.158.212.221,1
103.159.250.37,1
103.159.250.40,1
103.159.250.44,1
103.159.250.46,1
103.159.50.48,1
103.16.144.67,1
103.16.202.187,1
103.160.37.157,1
103.162.110.3,1
103.162.64.215,1
103.163.54.147,1
103.164.246.157,1
103.165.167.24,1
103.19.133.94,1
103.193.19.252,1
103.194.243.188,1
103.195.141.10,1
103.196.11.51,1
103.197.112.52,1
103.198.10.223,1
103.198.127.2,1
103.20.188.181,1
103.203.76.44,1
103.204.53.27,1
103.205.68.2,1
103.205.7.116,1
103.205.7.83,1
103.205.7.84,1
103.206.168.173,1
103.207.38.164,1
103.207.38.70,1
103.207.38.75,1
103.207.96.196,1
103.208.20.222,1
103.210.22.124,1
103.211.176.82,1
103.211.219.226,1
103.212.143.189,1
103.214.112.204,1
103.214.188.117,1
103.214.188.9,1
103.214.53.147,1
103.215.168.147,1
103.215.193.74,1
103.215.236.2,1
103.215.27.75,1
103.215.3.204,1
103.217.121.98,1
103.217.157.214,1
103.217.240.201,1
103.217.78.2,1
103.219.112.63,1
103.219.112.88,1
103.219.147.28,1
103.219.152.32,1
103.219.204.75,1
103.219.207.118,1
103.220.113.68,1
103.220.17.23,1
103.221.220.19,1
103.221.220.216,1
103.221.252.46,1
103.224.164.53,1
103.226.250.120,1
103.226.250.169,1
103.226.84.253,1
103.228.117.82,1
103.229.125.191,1
103.229.126.97,1
103.229.214.68,1
103.229.47.115,1
103.23.100.87,1
103.23.132.36,1
103.230.254.31,1
103.231.46.197,1
103.231.46.66,1
103.232.55.20,1
103.233.0.121,1
103.233.0.18,1
103.233.0.218,1
103.233.103.234,1
103.233.153.210,1
103.233.2.162,1
103.233.5.24,1
103.235.170.162,1
103.235.170.195,1
103.235.224.77,1
103.236.253.28,1
103.237.145.141,1
103.237.21.37,1
103.237.57.73,1
103.24.179.57,1
103.240.135.178,1
103.241.73.25,1
103.242.107.226,1
103.242.166.5,1
103.242.56.122,1
103.243.113.42,1
103.243.143.152,1
103.246.240.30,1
103.247.22.241,1
103.248.121.146,1
103.248.33.51,1
103.249.236.123,1
103.249.239.56,1
103.25.132.126,1
103.25.132.2,1
103.25.134.141,1
103.25.134.143,1
103.25.134.184,1
103.25.243.30,1
103.25.36.194,1
103.251.251.101,1
103.253.145.74,1
103.253.146.115,1
103.253.146.56,1
103.253.147.160,1
103.253.24.53,1
103.253.72.217,1
103.254.198.67,1
103.255.121.136,1
103.255.73.152,1
103.26.136.173,1
103.26.40.145,1
103.27.237.152,1
103.27.4.161,1
103.28.49.63,1
103.28.53.92,1
103.29.184.230,1
103.3.222.34,1
103.3.245.113,1
103.31.109.118,1
103.31.215.138,1
103.31.47.58,1
103.35.168.230,1
103.37.151.84,1
103.37.83.26,1
103.38.89.222,1
103.39.116.101,1
103.39.132.74,1
103.39.212.96,1
103.39.215.187,1
103.39.215.2,1
103.39.215.55,1
103.39.216.45,1
103.4.119.247,1
103.4.217.138,1
103.4.217.139,1
103.40.201.199,1
103.40.241.21,1
103.40.242.213,1
103.40.242.32,1
103.40.244.138,1
103.40.248.195,1
103.40.248.203,1
103.40.248.239,1
103.40.249.242,1
103.40.249.41,1
103.41.106.27,1
103.41.197.105,1
103.42.57.156,1
103.44.242.22,1
103.44.248.252,1
103.44.251.151,1
103.45.102.170,1
103.45.105.120,1
103.45.111.247,1
103.45.118.25,1
103.45.141.154,1
103.45.174.196,1
103.45.178.186,1
103.45.190.6,1
103.48.180.131,1
103.48.192.48,1
103.48.193.7,1
103.49.154.6,1
103.49.200.38,1
103.50.205.186,1
103.53.113.13,1
103.53.231.138,1
103.54.101.64,1
103.55.36.28,1
103.56.191.87,1
103.56.70.111,1
103.57.123.1,1
103.57.222.214,1
103.58.65.139,1
103.58.65.181,1
103.58.74.50,1
103.59.112.117,1
103.60.137.117,1
103.60.137.80,1
103.61.38.102,1
103.62.153.202,1
103.62.153.203,1
103.62.153.204,1
103.63.108.25,1
103.63.215.48,1
103.66.79.89,1
103.69.216.231,1
103.7.1.10,1
103.70.144.140,1
103.70.157.143,1
103.70.166.102,1
103.71.255.250,1
103.72.144.228,1
103.72.172.20,1
103.73.102.247,1
103.75.197.6,1
103.75.34.219,1
103.76.175.134,1
103.76.179.38,1
103.76.188.2,1
103.76.252.6,1
103.76.253.150,1
103.77.204.76,1
103.77.43.107,1
103.78.115.239,1
103.78.15.3,1
103.79.183.231,1
103.79.79.53,1
103.8.79.8,1
103.80.38.82,1
103.80.38.83,1
103.80.82.33,1
103.81.115.131,1
103.81.153.133,1
103.81.26.245,1
103.81.38.181,1
103.82.14.202,1
103.82.145.129,1
103.82.147.4,1
103.82.220.226,1
103.83.157.80,1
103.84.131.19,1
103.85.234.70,1
103.85.92.230,1
103.86.132.117,1
103.86.160.93,1
103.86.180.10,1
103.87.27.122,1
103.87.86.146,1
103.87.89.149,1
103.88.122.22,1
103.88.126.83,1
103.89.170.150,1
103.89.176.73,1
103.89.91.179,1
103.90.232.219,1
103.91.67.235,1
103.92.26.252,1
103.92.31.92,1
103.94.255.190,1
103.96.12.47,1
103.96.220.115,1
103.96.36.130,1
103.96.38.165,1
103.96.73.67,1
103.96.96.114,1
103.97.100.15,1
103.97.244.187,1
103.98.176.2,1
103.98.190.20,1
103.99.0.210,1
103.99.149.250,1
104.128.93.238,1
104.131.1.89,1
104.131.102.169,1
104.131.113.163,1
104.131.13.185,1
104.131.15.132,1
104.131.16.66,1
104.131.16.68,1
104.131.16.70,1
104.131.161.6,1
104.131.165.30,1
104.131.167.203,1
104.131.172.37,1
104.131.173.238,1
104.131.174.220,1
104.131.174.8,1
104.131.177.41,1
104.131.178.145,1
104.131.180.54,1
104.131.181.4,1
104.131.183.184,1
104.131.186.240,1
104.131.189.63,1
104.131.190.193,1
104.131.210.58,1
104.131.249.57,1
104.131.39.193,1
104.131.40.125,1
104.131.40.97,1
104.131.45.150,1
104.131.46.166,1
104.131.48.26,1
104.131.55.17,1
104.131.55.236,1
104.131.68.23,1
104.131.71.115,1
104.131.74.150,1
104.131.79.252,1
104.131.8.24,1
104.131.83.83,1
104.131.88.229,1
104.131.89.180,1
104.131.90.172,1
104.131.91.148,1
104.131.97.219,1
104.140.188.10,1
104.149.130.198,1
104.152.52.61,1
104.152.52.62,1
104.152.52.68,1
104.152.52.70,1
104.152.52.71,1
104.152.52.74,1
104.153.102.152,1
104.155.25.185,1
104.157.25.250,1
104.160.41.247,1
104.174.61.206,1
104.192.80.226,1
104.192.80.228,1
104.192.80.23,1
104.192.81.103,1
104.192.81.157,1
104.196.22.198,1
104.196.59.173,1
104.198.16.231,1
104.199.121.213,1
104.199.146.31,1
104.199.35.3,1
104.199.41.243,1
104.200.134.181,1
104.200.135.42,1
104.200.19.46,1
104.200.36.181,1
104.200.38.53,1
104.208.159.126,1
104.209.140.249,1
104.211.164.221,1
104.211.77.169,1
104.211.77.31,1
104.215.159.104,1
104.215.84.102,1
104.224.146.43,1
104.224.183.38,1
104.224.189.157,1
104.225.236.41,1
104.236.112.52,1
104.236.114.28,1
104.236.121.187,1
104.236.122.193,1
104.236.122.214,1
104.236.122.229,1
104.236.124.45,1
104.236.151.120,1
104.236.182.223,1
104.236.19.222,1
104.236.201.108,1
104.236.224.69,1
104.236.228.230,1
104.236.230.184,1
104.236.244.98,1
104.236.248.184,1
104.236.35.211,1
104.236.43.154,1
104.236.48.174,1
104.236.52.94,1
104.236.68.145,1
104.236.69.31,1
104.236.72.182,1
104.236.75.65,1
104.236.79.245,1
104.238.120.45,1
104.238.98.243,1
104.244.225.144,1
104.244.72.36,1
104.244.73.13,1
104.244.73.205,1
104.244.73.93,1
104.244.74.121,1
104.244.74.211,1
104.244.74.57,1
104.244.77.101,1
104.244.77.122,1
104.244.77.95,1
104.244.79.172,1
104.244.79.196,1
104.245.44.233,1
104.248.1.92,1
104.248.131.186,1
104.248.132.215,1
104.248.133.233,1
104.248.138.120,1
104.248.144.236,1
104.248.145.196,1
104.248.147.78,1
104.248.149.130,1
104.248.159.69,1
104.248.17.39,1
104.248.172.241,1
104.248.179.36,1
104.248.18.239,1
104.248.181.156,1
104.248.194.245,1
104.248.2.89,1
104.248.203.117,1
104.248.204.160,1
104.248.207.77,1
104.248.229.42,1
104.248.232.207,1
104.248.236.10,1
104.248.236.232,1
104.248.241.234,1
104.248.243.178,1
104.248.244.119,1
104.248.248.126,1
104.248.36.3,1
104.248.41.237,1
104.248.42.186,1
104.248.45.204,1
104.248.49.90,1
104.248.5.152,1
104.248.61.192,1
104.254.93.83,1
104.37.188.123,1
104.42.113.137,1
104.45.90.17,1
105.154.112.104,1
105.155.250.240,1
105.158.171.182,1
105.158.251.183,1
105.159.253.46,1
105.159.56.220,1
105.174.1.158,1
105.184.233.124,1
105.196.237.209,1
105.203.195.68,1
105.213.124.149,1
105.66.4.56,1
105.96.11.65,1
106.102.0.163,1
106.102.0.3,1
106.102.0.52,1
106.107.229.247,1
106.113.146.239,1
106.114.192.130,1
106.114.194.90,1
106.114.201.217,1
106.114.201.247,1
106.114.248.98,1
106.12.10.54,1
106.12.103.145,1
106.12.105.161,1
106.12.106.140,1
106.12.106.221,1
106.12.107.141,1
106.12.111.201,1
106.12.112.236,1
106.12.113.204,1
106.12.114.101,1
106.12.115.110,1
106.12.116.75,1
106.12.119.242,1
106.12.12.238,1
106.12.123.126,1
106.12.128.48,1
106.12.130.239,1
106.12.130.83,1
106.12.134.106,1
106.12.134.187,1
106.12.137.97,1
106.12.139.200,1
106.12.140.168,1
106.12.141.142,1
106.12.147.39,1
106.12.152.95,1
106.12.153.211,1
106.12.155.22,1
106.12.158.133,1
106.12.158.193,1
106.12.158.211,1
106.12.160.130,1
106.12.160.6,1
106.12.162.222,1
106.12.162.243,1
106.12.166.111,1
106.12.167.146,1
106.12.171.183,1
106.12.173.237,1
106.12.174.182,1
106.12.179.113,1
106.12.179.119,1
106.12.180.52,1
106.12.182.249,1
106.12.185.11,1
106.12.185.16,1
106.12.186.163,1
106.12.199.117,1
106.12.199.30,1
106.12.199.96,1
106.12.200.225,1
106.12.201.95,1
106.12.202.180,1
106.12.202.192,1
106.12.202.47,1
106.12.206.79,1
106.12.208.233,1
106.12.214.128,1
106.12.219.184,1
106.12.219.21,1
106.12.220.192,1
106.12.24.203,1
106.12.27.150,1
106.12.33.158,1
106.12.37.13,1
106.12.38.109,1
106.12.4.114,1
106.12.43.233,1
106.12.47.189,1
106.12.5.190,1
106.12.55.129,1
106.12.56.126,1
106.12.57.149,1
106.12.61.190,1
106.12.75.10,1
106.12.79.216,1
106.12.97.46,1
106.12.98.175,1
106.120.108.114,1
106.120.75.98,1
106.121.185.113,1
106.122.194.206,1
106.124.129.115,1
106.124.132.105,1
106.124.135.232,1
106.124.136.103,1
106.124.136.227,1
106.124.137.108,1
106.124.140.36,1
106.124.141.108,1
106.124.142.206,1
106.124.142.64,1
106.124.143.24,1
106.13.1.239,1
106.13.10.242,1
106.13.111.224,1
106.13.113.143,1
106.13.12.199,1
106.13.120.15,1
106.13.126.24,1
106.13.128.93,1
106.13.135.228,1
106.13.139.79,1
106.13.14.153,1
106.13.140.138,1
106.13.142.93,1
106.13.143.246,1
106.13.144.207,1
106.13.147.98,1
106.13.148.29,1
106.13.16.113,1
106.13.16.90,1
106.13.168.108,1
106.13.168.180,1
106.13.171.106,1
106.13.18.86,1
106.13.181.104,1
106.13.186.176,1
106.13.19.118,1
106.13.19.6,1
106.13.19.75,1
106.13.193.201,1
106.13.195.32,1
106.13.198.68,1
106.13.20.188,1
106.13.20.229,1
106.13.20.232,1
106.13.20.31,1
106.13.201.44,1
106.13.203.62,1
106.13.206.111,1
106.13.207.135,1
106.13.207.159,1
106.13.207.219,1
106.13.207.231,1
106.13.209.92,1
106.13.210.166,1
106.13.215.215,1
106.13.216.115,1
106.13.217.10,1
106.13.217.124,1
106.13.219.169,1
106.13.220.237,1
106.13.221.213,1
106.13.223.163,1
106.13.224.11,1
106.13.226.9,1
106.13.228.207,1
106.13.229.67,1
106.13.23.251,1
106.13.23.86,1
106.13.231.16,1
106.13.231.92,1
106.13.236.133,1
106.13.239.164,1
106.13.24.186,1
106.13.244.44,1
106.13.25.242,1
106.13.26.62,1
106.13.27.134,1
106.13.27.156,1
106.13.28.142,1
106.13.3.35,1
106.13.31.198,1
106.13.31.93,1
106.13.32.128,1
106.13.33.37,1
106.13.34.129,1
106.13.34.131,1
106.13.35.87,1
106.13.39.52,1
106.13.40.23,1
106.13.45.23,1
106.13.46.123,1
106.13.47.10,1
106.13.48.52,1
106.13.50.219,1
106.13.52.157,1
106.13.52.192,1
106.13.56.156,1
106.13.62.100,1
106.13.67.110,1
106.13.74.61,1
106.13.78.198,1
106.13.82.231,1
106.13.86.65,1
106.13.87.145,1
106.13.88.44,1
106.13.89.74,1
106.13.94.193,1
106.13.97.37,1
106.14.141.192,1
106.14.174.224,1
106.14.186.62,1
106.14.36.235,1
106.14.37.114,1
106.14.39.74,1
106.15.197.185,1
106.15.199.113,1
106.15.79.237,1
106.195.103.165,1
106.197.117.204,1
106.197.8.58,1
106.2.207.106,1
106.2.45.13,1
106.2.45.18,1
106.201.72.9,1
106.202.197.101,1
106.206.132.205,1
106.211.15.79,1
106.212.170.167,1
106.213.25.224,1
106.216.141.29,1
106.220.254.140,1
106.225.133.42,1
106.225.150.133,1
106.241.33.158,1
106.241.54.211,1
106.244.205.217,1
106.245.142.146,1
106.248.228.114,1
106.248.237.218,1
106.250.187.82,1
106.250.94.40,1
106.255.248.19,1
106.3.130.252,1
106.3.133.164,1
106.37.183.34,1
106.37.82.42,1
106.38.158.131,1
106.38.158.146,1
106.38.58.138,1
106.39.21.10,1
106.39.63.53,1
106.51.152.250,1
106.51.227.10,1
106.51.3.214,1
106.51.36.64,1
106.51.48.117,1
106.51.78.18,1
106.51.79.96,1
106.51.80.198,1
106.51.85.16,1
106.51.85.93,1
106.51.98.159,1
106.52.101.33,1
106.52.103.191,1
106.52.106.170,1
106.52.107.167,1
106.52.11.26,1
106.52.114.125,1
106.52.115.36,1
106.52.117.111,1
106.52.117.86,1
106.52.118.187,1
106.52.12.165,1
106.52.122.203,1
106.52.123.11,1
106.52.128.23,1
106.52.135.118,1
106.52.139.223,1
106.52.141.36,1
106.52.152.16,1
106.52.152.168,1
106.52.152.73,1
106.52.162.140,1
106.52.166.245,1
106.52.169.48,1
106.52.17.213,1
106.52.174.219,1
106.52.176.243,1
106.52.178.166,1
106.52.18.191,1
106.52.181.236,1
106.52.184.33,1
106.52.192.219,1
106.52.193.249,1
106.52.198.57,1
106.52.20.112,1
106.52.20.56,1
106.52.204.39,1
106.52.209.36,1
106.52.209.98,1
106.52.21.72,1
106.52.210.175,1
106.52.224.205,1
106.52.240.169,1
106.52.251.114,1
106.52.26.143,1
106.52.29.118,1
106.52.30.184,1
106.52.31.195,1
106.52.31.53,1
106.52.33.78,1
106.52.36.53,1
106.52.38.68,1
106.52.43.157,1
106.52.47.115,1
106.52.51.246,1
106.52.51.73,1
106.52.54.192,1
106.52.55.146,1
106.52.69.167,1
106.52.69.233,1
106.52.70.206,1
106.52.70.240,1
106.52.80.185,1
106.52.84.22,1
106.52.85.213,1
106.52.86.221,1
106.52.9.154,1
106.52.92.199,1
106.52.93.202,1
106.53.105.168,1
106.53.115.29,1
106.53.119.143,1
106.53.121.179,1
106.53.123.63,1
106.53.125.253,1
106.53.127.190,1
106.53.127.49,1
106.53.136.5,1
106.53.143.227,1
106.53.148.9,1
106.53.156.113,1
106.53.19.38,1
106.53.2.93,1
106.53.201.239,1
106.53.223.243,1
106.53.225.185,1
106.53.229.213,1
106.53.229.39,1
106.53.232.38,1
106.53.235.41,1
106.53.236.9,1
106.53.237.190,1
106.53.237.30,1
106.53.239.180,1
106.53.239.28,1
106.53.242.182,1
106.53.249.17,1
106.53.249.98,1
106.53.251.59,1
106.53.254.85,1
106.53.40.211,1
106.53.56.213,1
106.53.61.167,1
106.53.8.180,1
106.53.81.17,1
106.53.86.25,1
106.53.91.250,1
106.53.92.85,1
106.53.94.188,1
106.53.96.64,1
106.54.101.141,1
106.54.104.8,1
106.54.107.127,1
106.54.112.173,1
106.54.121.24,1
106.54.164.19,1
106.54.166.168,1
106.54.167.68,1
106.54.168.74,1
106.54.170.148,1
106.54.174.159,1
106.54.176.190,1
106.54.189.120,1
106.54.189.18,1
106.54.194.189,1
106.54.206.184,1
106.54.236.226,1
106.54.238.208,1
106.54.253.9,1
